"","category","name","reviewer","review","date","ratings"
"1","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Amazon Customer","







  
  
    👍🏾
  
","Reviewed in the United Kingdom on 15 March 2023","4.3 out of 5 stars"
"2","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Ashley","







  
  
    Isn't for my type of hair but smells really good,  all natural ingredients. A little turns into a lot which is overall good. Leaves your hair hydrated, make sure to wash and rinse hair with cold water.
  
","Reviewed in the United Kingdom on 17 June 2021","4.4 out of 5 stars."
"3","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Sparkelef","







  
  
    Used it for my dreadlocs and they seemed love once again
  
","Reviewed in the United Kingdom on 21 July 2022","4.4 out of 5 stars."
"4","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","EKEOMA CHINEDUM OGAZI","







  
  
    Best shampoo ever, hair is hydrated and doesn't fall off anymore.  Really impressed by it
  
","Reviewed in the United Kingdom on 16 July 2021","4.7 out of 5 stars."
"5","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","alis","







  
  
    I love this shampoo makes my hair feel soft and clean. Lovely smell.
  
","Reviewed in the United Kingdom on 6 March 2021","4.3 out of 5 stars"
"6","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Sandra","







  
  
    I had used and LOVED the curl clarity shampoo from this brand and wanted to try a different shampoo. Unfortunately, it smells really strange (toxic, chemical undertones under artificial, fruity scents) and didn’t leave my hair feeling fresh and clean. I wanted to like this and tried it twice - shampoo and conditioner - before reviewing. I wouldn’t recommend.
  
","Reviewed in the United Kingdom on 3 February 2022","4.3 out of 5 stars"
"7","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Joy","







  
  
    Gets here very clean and it smells good in your hair
  
","Reviewed in the United States on 7 March 2024","4.3 out of 5 stars"
"8","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Darryl Darling","







  
    Sigo el metodo curly y es uno de los champus aptos que me deja el pelo mas suave
  
  
","Reviewed in Spain on 13 September 2021","5.0 out of 5 stars"
"9","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","mireia","







  
  
    This is the best shampoo, gentle and clean scent, thick and lathers well. Leaves my son’s hair feeling so hydrated and soft!
  
","Reviewed in the United States on 7 March 2023","5.0 out of 5 stars"
"10","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Sam","







  
    Deja el pelo muy hidratado. Hace mucha espuma y limpia bastante bien, pero no reseca nada el cuero cabelludo.
  
  
","Reviewed in Spain on 3 February 2021","5.0 out of 5 stars"
"11","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Amazon Customer","







  
  
    👍🏾
  
","Reviewed in the United Kingdom on 15 March 2023","4.3 out of 5 stars"
"12","Shampoo","        AS I AM Jamaican Black Castor Oil Shampoo, 355ml       ","Ashley","







  
  
    Isn't for my type of hair but smells really good,  all natural ingredients. A little turns into a lot which is overall good. Leaves your hair hydrated, make sure to wash and rinse hair with cold water.
  
","Reviewed in the United Kingdom on 17 June 2021","4.4 out of 5 stars."
