"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Gordon-11","17 February 2016","This film tells the story of a cowardly young dinosaur, who lost his way home after a storm. He befriends a young human being in prehistoric times. They navigate the treacherous lands in search of their respective homes.The visuals in the film are quite stunning. The colours are vivid and bright, while the backdrop is always beautiful and at times even breathtaking. It's interesting to see a talking dinosaur, while the young human being behaves more like a dog, which is further reinforced by the name spot. I enjoyed the exciting and on occasion dangerous adventure they share together. It's an inspiring story to help children and adults find courage to conquer difficult times.","
            7/10
            "
"MrGenre","18 June 2016","I felt compelled to write a review, primarily because there are so many ""1 star"" reviews taking up residence on this site. Let's be frank, folks. If it wasn't Pixar, you wouldn't be whining about how ""awful"" it was.Here's the truth for those who are actually interested in seeing it: it's a pretty great flick.I would love to hop on here and tell you that everyone's wrong and it's the most amazing animated movie I've ever seen, but that wouldn't be true. I would honestly say it's near the bottom when compared to all the other Pixar films.But it's still a lot of fun. Here are the most laudable aspects, in my humble opinion:1: The animation is the best Pixar has done to this point. It's truly beautiful! They did a tremendous job of capturing the beauty of nature, from forests to prairies, and interposing an almost cheesy-looking dinosaur in the midst of it was fantastic. Don't waste your time with a DVD on this one, splurge for the Blu-Ray.2: The characters are heartwarming, and the plot is simple. Frances McDormand is especially wonderful as the mother of the simple farming family of apatosaurs, and the characters are driven by simple values like family and hard-work. I understand why many were frustrated with the simplicity of the plot, but do we always have to jump the shark in a movie? It's a fun and beautiful journey.3: It's a beautiful parody of a classic western story/film. I'm a little annoyed that the previews didn't push this aspect more, because a lot of the movie-bashing is based on the fact that people didn't get the story they expected. This is not unlike classic Disney movies like ""The Incredible Journey."" Don't expect something modern or game-changing here. This is just a twist on a classic homecoming story.I hope this preview helps dispel some of the hate. It's a fun movie, and worth a watch, even if it's not my favorite Pixar.","
            8/10
            "
"AlsExGal","22 December 2016","... which is the impression I got when I saw the DVD cover art, the title, and the trailers.It came on one of the pay channels the other day and I sat down to watch. What I found was a whacked out ""what if"" view of natural history plus a tale on facing your fears and finding friendship where you least expect it.The movie starts with a bang - literally. Dinosaurs are eating in a field 65 million years ago as an asteroid comes tumbling towards earth. The dinosaurs look up. The asteroid passes harmlessly overhead. The dinosaurs continue eating. So the mass extinction never happens.Millions of years pass and the dinosaurs evolve. The ""vegi-sauruses"" become farmers. The ""meat-asauruses"" become ranchers. One humorous turn introduces us to a timid Styracosaurus who has evolved into a terrified animal that puts small animals all over his horns to protect himself from all kinds of threats that grow out of his neurotic fears.At the core of it is a family of Apatosaurus farmers with three children. The smallest is Arlo, who is afraid of his own shadow. His nemesis is ""Spot"" a human child that keeps getting into the family silo and eating the crops. But these two have to team up when a natural disaster sweeps Arlo far from home and he is forced to face his fears.I thought the idea of evolving dinosaurs living alongside the dawn of man at the point where man is just at ""dog level""-a mute primitive creature - was intriguing enough to keep the adults engaged while Arlo's story is enough to keep the children around along with the unique sight gags I've come to expect from Pixar. Highly recommended as an unexpected treat, at least from my perspective.","
            8/10
            "
"kosmasp","18 November 2016","So this movie is probably a lot better than what you might have heard. But some parents may have some issues with the themes and things portrayed in here in general. It may be a bit too much for their children to watch. There are some adult situations here (as in life happens and the ""brutality of it"", without getting explicit), some dramatic moments that may stay in ones mind.Having said that, you could say, that this is challenging and if you really think about it, animated movies in the past that are considered classics, had some horrible moments in them (without spoiling the moments, just two examples: Bambi and Lion King). Even the Last Unicorn had some dark themes in it. So maybe we try to overprotect children, where they don't need to be protected? It's a fair question though, but the movie handles it very discreetly and to the point.","
            6/10
            "
"TheLittleSongbird","24 February 2016","After being blown away by Pixar's previous film 'Inside Out' (which is one of their best too), while not really deserving of so many 1- star reviews 'The Good Dinosaur' disappointed on many levels. Not just lesser Pixar but a contender for their worst too, even more so than the often panned 'Cars 2' (which to me while not great was not that bad). It is a long way from an awful film, certainly much better than several reviews have lead you to believe (seeing as 1- star indicates no redeeming qualities, which is not the case here), but considering Pixar's usual incredibly high standard I was expecting so much more. There are a number of good things here in 'The Good Dinosaur'. Much of the animation is spectacular, including some of Pixar's most gorgeously vivid colours and some of their most stunning and rich- in-detail backgrounds. The music score is both whimsical and energetic, and the film also benefits from some clever casting and very strong voice acting, Sam Elliot in particular stands out. Many have complained of Arlo's voice work, it wasn't a problem personally.On top of those, 'The Good Dinosaur' does have some genuinely funny moments (mostly visual), parts that are genuinely touching, some thumping, thrilling action, a beautifully realised central friendship, an endearing lead character in Arlo and an inspirational main message (as a matter of fact, all the lessons and messages the film teaches are great). So a lot to admire. However, 'The Good Dinosaur' does fall short. While there is much to admire in the animation overall, it also contains the least appealing character designs in any of Pixar's film, the photo- realistic look looks cartoony rather than realistic and jars against the vivid backgrounds . While keeping things simple can work in a film's favour, 'The Good Dinosaur' is rather too simple and straight-forward that the storytelling while not completely dull lacks momentum and veers on being too paper-thin and simplistic as well as being too predictable and familiar. Target audience is also an issue. Adults may find themselves checking their watches, not that it's completely dull but unlike much of Pixar's other films it is not consistently captivating. And with children, while this viewer usually tries to not complain about anything being too dark or unnecessary and has been known to defend films criticised for that 'The Good Dinosaur' is an example of a film where that criticism is valid and understandable, because there is some dark and disturbing content (like a decapitation and a drug reference) that added absolutely nothing and quite frankly had no place in a family film. The violence is similarly gratuitous. The script is inconsistent in the laughs and emotional investment factors and is not as clever, witty, insightful or as intelligently structured as the writing for Pixar's best, coming across as even more paper-thin and simplistic than the storytelling and the dialogue itself is often cheesy and clichéd. In conclusion, not as bad as most have made out but very much a lesser Pixar. Has enough good merits to make it watchable, but it's the only Pixar film to date to disappoint me. Very hard to decide between a 5 or 6, as it was actually not easy to rate, so it's got a 5.5/10 (somewhere in between). Bethany Cox","
            7/10
            "
"thebasedupdate","12 June 2016","The fact that this movie still holds a score of a 6.8 with hundreds of 1/10 scores shows you just how good it is. I'm not here to preach that it's an awesome movie, but give it the score it deserves. (It's not PIXAR's best, but still fits the bill of a good movie.)Honestly the highly negative scores are just because people were not BLOWN away. A PIXAR movie sets the bar so high, so the fact that this one isn't an A+, people are bashing just to bash.I watched this with my cousins, all at the time were under 10 ( 7 & 9 ) and nothing was too scary. Could it be over the top for 4 or 5 year old, of course, but it's not that bad. The Lion King is regarded as one of the BEST Disney films ever and there are similar scenes with death, scary bad-guys, hard times, etc. Give it a watch.","
            10/10
            "
"tedg","21 February 2016","I follow certain filmmakers in a way unlike any other relationship. If they have worked well for me at least once, they become a permanent part of my life, not friends or family because I give nothing back. When they try and fail, it becomes something of a failure of mine to learn from.Pixar is in this class of 'filmmakers' because there I see a certain consistent set of ambitions and values. Creative, polished story is what most people see, but what interests me is the deep exploration of what it means to tell stories visually, cinematically.These men and women aggressively expand the cinematic vocabulary. Sometimes it is local, in some minute orchestration of character movement; I am not skilled enough to see and understand where these are new. But I can see and understand how they push the way we can communicate about *space* and the movement of the eye in it.In this, they have two concerns. I've remarked elsewhere on the most visible one: how they understand the third dimension and where we place the camera. They can expand this because the camera is no longer physical. They've gone so far as to design whole story worlds to allow for stretching this. The other experimental area is more subtle and perhaps more influential in the long run. It used to be that the environment in films was that we lived in, and incidentally captured by the camera. Except in very rare cases, like some of the work of Welles and Kurosawa, it is static, dead, not able to participate in the communication. In cartoons, the background was ever more so.But CGI breaks that boundary as well. I saw the problems they had with trying to innovate with conscious snow interacting with conscious hair in Brave. They had all sorts of other difficulties with this film, many of them not relevant to the experiment in conscious background but it has to be considered a success.The story isn't particularly novel in having the environment be the protagonist, but it is novel in the emotional texture they were able to impart to that environment. The characters' texture and form have been reduced and that of the environment increased. There was never in reality water this full of life, vegetation with this much unified presence. They moved the old story-focused director out and moved in a texture animator and incidentally gave him a story to tell.It is not typical of Pixar that the filmmaker is allowed to make a statement, but here we have him creating a character that enters the story and announces his intentions. He is part of the environment, appearing first as a tree and stepping out to be a multi horned creature that 'collects' pets that each play a role. This is one of the most sophisticated in jokes I recall, directly related to the focus on the background as foreground.","
            9/10
            "
"dickson-88463","4 March 2016","It's pretty amazing that so many people seem to want to trash this movie. I watched this with my 2 daughters and my 10 year old said it was the best movie she's ever seen. She identified with Arlo's anxiety and insecurity as she also feels this way sometimes. His journey in dealing with these issues by facing his fears and, even if sheepishly at first, challenging them one by one helped her to understand herself. It allowed her to see that others struggle and can overcome these struggles in a way she hadn't seen before... up close and personal. As a child and adolescent therapist in practice for over 16 years, I can definitively tell you that any movie that prompts a child to look into themselves... to challenge their fears... and ends with them hugging you tightly, is a true marvel to behold. It's the core of the emotional artistry that movies are meant to be. Having an emotional connection to a movie or any work of art for that matter, will always win out over special effects and beautiful backdrops. It's the reason Star Wars: A New Hope was brilliant and The Phantom Menace sucked. Anyone have any kind of emotional connection to The Phantom Menace these days?","
            10/10
            "
"ratslovetherachel2","8 March 2016","Another win for Disney Pixar. My 3&5 year old boys loved Arlo and spot. We prefaced this movie with The Land Before Time. My children were fully aware that when the first man evolved that it was a dangerous and scary place. It still is,just the predators are people mostly. I guess they aren't as sheltered as some of the other reviewers children. We laughed when they ate the hallucinogenic berries, and cried together when spot was reunited with his family.The art was absolutely spectacular and awe inspiring. All in all it is better than Planes and a little bit less than Wreck it Ralph.We have purchased it on Blu Ray to watch again and again","
            6/10
            "
"eireanngobrach23","31 March 2016","***WARNING: CONTAINS SPOILERS*** Don't believe all the bad reviews. People have sticks up their asses.The only mistake Pixar made was releasing this 5 months or so after Inside Out. This movie pales in comparison. That being said, it's a good movie. My 4 year old loves it. It's not necessarily of the same caliber as the other Pixar movies (except Cars 2; you are all forgetting that one. It is by far the worst one.)It's definitely dark and has some pretty adult elements, but it's not something a kid can't handle. It's not traumatic, by any means. Give your kids some credit. The whole theme of the movie is conquering fear, so it might do your kid some good to watch it. And stop saying it's a bad carbon copy of The Lion King just because the dad dies. How many times has that happened in other Disney movies? Stop it.I'll just say watch it and see for yourself. No, it's not as good as Inside Out, but it's a solid movie, and it stands on its own. It's worth watching.","
            10/10
            "
"paul_haakonsen","29 September 2016","I sat down to watch ""The Good Dinosaur"" with my family, that being wife and 6 year old son, and I didn't really have any idea that I would end up being as entertained by this animated movie as I was. I had thought that this would just be another one of those mass-produced generic animated movies aiming for the kids.The story in ""The Good Dinosaur"" was actually surprisingly good, and it was told in a very entertaining way, and also in a way that kept the movie progressing at a constant good pace. There weren't really any dull moments throughout the course of the movie, and even the slower moments in the movie were good and had crucial parts to the overall storyline.The CGI, style and textures in ""The Good Dinosaur"" were all very impressive. But of course, Pixar is well-known for that, and they didn't disappoint by any means with this 2015 release. The entire animated world was rich in color, details and very lovable.As for the characters portrayed in ""The Good Dinosaur"", well there is something for everyone here. I dare say that much. Of course you have someone brave, someone lovable, someone daring, someone clumsy, etc. etc. It was all here. And they had managed to get together and impressive group of voice actors and actresses for the various roles. And for an animated movie, then the voice acting is essential.""The Good Dinosaur"" is the kind of story that you take to heart immediately and you will be entertained right up to the very end of the movie, that is for sure. And although you already know how the movie will end, it is still a good story to experience and an entertaining movie to watch.This 2015 animated movie, like most Pixar movies, is of the type that you can watch more than just a single time. And it does stand out from many other Pixar movies, mainly because of the setting of the age of dinosaurs and the characters.""The Good Dinosaur"" scores a solid six stars out of ten rating from me, as it is a movie that has that ability to make you feel good, feel entertained and make you laugh all at the same time.","
            7/10
            "
"kirstienne","1 April 2016","I'm in my twenties and to be honest, I still enjoy watching Pixar films with my family. There's just something so genuine and beautiful about their movies, not to mention the endless amount of lessons one can learn.When I initially read the reviews about ""The Good Dinosaur"", they were all so bad. It didn't stop me from watching though and I do not regret that decision. This has got to be one of the most heartwarming Pixar films I've ever seen and it tugged at my heartstrings. I was crying throughout the movie especially towards the end. The thing about being an adult, we tend to overthink something so simple. The plot isn't something grand. It's not funny. It's cute. If you're looking for a film like the classic Pixar favorite ""Toy Story"", forget about watching this. It's a really simple storyline that focuses mainly on teaching the importance of family, dealing with fears and overcoming them as well as finding oneself or making your mark in this world. View ""The Good Dinosaur"" with an open mind and just be ready to enjoy the movie without reading too much between the lines. The good thing about Pixar films is that they remind you how wonderful it is to still be a kid at heart. This movie is no exception. In fact, I think this joins the ranks of ""Finding Nemo"",""UP"", and ""Inside Out"". Everyone has a right to their own opinion, but I can't help but wonder why majority just plain dislike this movie. If you're on the fence after reading one too many 1-star reviews, I say go ahead and still watch it. Judge for yourself. Be pure hearted like a kid and try to embrace the beautiful lessons of the film. Allow it to engulf you and touch you. If you have a kid/kids, this would be one of those perfect films to have a hearty conversation with afterwards. It's very inspiring, really. Give ""The Good Dinosaur"" a try. Oh and one more thing, don't be afraid to cry while watching this. I've seen this twice and still end up a mess every time.","
            6/10
            "
"glenn93-8-324920","20 February 2016","reading the other reviews about this film i can barely believe my eyes! all of you are complaining about it being to violent and having bad influences on kids but it is one of only 4 Pixar movies with a PG rating which should tell you it might be a little darker than other Pixar films. but here is m review, The film revolves around a little scared dinosaur named Arlo and i think Arlo represents many of the kids in our modern society, in the film they bring problems like Loneliness, not feeling like you belong, the importance of family, death,conquering you're fears into the light.The scene near the end where Arlo lets Spot go and join his new family was really really touching. for those complaining that the plot is too simple, remember that it is in facts a kids movie its supposed to be, its not a film that you sit down and think about hours on end after viewing it, it'something you enjoy there and then.all in all I really enjoyed the movie, it had me laughing at times and had me crying at times.","
            4/10
            "
"cherold","14 August 2016","If you can make it through the tedious first third, it's not a bad little movie. The interplay between Arlo and Spot is generally enjoyable (the first really good scene is Spot trying to feed Arlo). The movie can be quite funny, somewhat thrilling, and occasionally touching.So basically, if this was some kids cartoon from some lesser studio, this would be pretty good. For Pixar though, it's a big disappointment.One of the film's biggest flaws is also one of its greatest strengths; the animation. On the one hand, the landscapes - forests, rivers, fields - have an amazing photo-realism that mark them as an incredible achievement in animation. But this hyper-realism makes the main dinosaur breed look terrible; they are about as realistic as the cars in Cars, and it's like someone filmed a sock puppet show in the Grand Canyon. It's the thing most reviewers seem to talk about, so it's rather amazing that Pixar didn't see the problem themselves.It's not that the dinosaurs needed to look real, but the insistence on those giant, soulful eyes made the heads misshapen, and the colors are too clean and shiny to meld with the environments. Other breeds of dinosaurs and insects have an acceptable cartooniness, but Arlo is just annoying in design, creating a constant de-immersion signal.The story is conventional and predictable, the emotional moments feel manipulative, but still, it's not bad as kid's cartoons go. But it sure isn't what we expect from Pixar.","
            4/10
            "
