"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"anon1mat0","16 December 2006","How to describe a movie based on a lovely book, that could have had a wonderful franchise, but was so hurriedly done, and so poorly directed as to become a horrible flop? First lets say that while the book has some flaws, this movie is really a disservice to it; a more or less complex plot is reduced to its bare elements making it a very predictable ordeal (as any other story would), the photography doesn't reach the standard set by LOTR or HP, becoming quite bland, the casting -while good on the stronger characters (Brom, Durza, Galbatorix)- is really lacking, particularly on critical characters like Murtagh and Arya, and the music -so critical to convey the emotions of the movie- is so corny and clumsily placed that rather than enhance takes away from the experience. So little works on this movie and so many details are ruined using the cheapest tricks, that any sequel would never make it to the big screen (more so when critical plot points were stripped from the movie).Having read and enjoyed the books with my 11 year old son, we had high hopes and were both devastated with this ... thing promoted as a movie.It is indeed a sad, sad adaptation, a proof that some movie execs in its eagerness to make a quick buck have indeed killed what could have been a geese of golden eggs.Hopefully Mr. Fangmeier will go back to do special effects and never return as a movie director. At least I know that I will never see a movie made by him again.","
            2/10
            "
"mrs-mcmanus","20 December 2006","I tell my students to call it as they see it. If someone would be crushed by a scathing review, so be it. These Hollywood ""hotshots' need to get the hint that the public expectations for a true representation of a best-selling novel are more important that their ""artistic vision."" And when I say ""artistic vision,"" I mean stupidity and downright ignorance. Paolini's Eragon did not sell the way it did because it was merely some pulp fiction about a dragon; rather, it sold because it has a strong storyline, compelling characters, and timeless message. Not to mention that it was written by a 16 year-old boy.The most egregious evils lay within the following three reasons. First, as it is, the entire film is told as exposition. Perhaps this was done purposefully; after all, this is the first installment of a trilogy. However, it should be a complete story regardless. The writer tells the viewer what is going on, rather than showing the viewer what is supposed to happen. It's like writing a paragraph with only statements and leaving out the 3-5 sentences of elaboration for each. It is the worst kind of highlight paper. Truly by the end of the film, you are only waiting for the story to begin. But honestly, by the end of the movie, you just want to be put out of your misery. Second, the characters are static and boring. The viewer gets no sense of emotional depth to any of the characters. By limiting the character development, the trilogy itself is severely limited. By the time the film reached the final battle scene, instead of empathizing with the characters, I laughed at them. The music told me that I should feel excitement, frustration, and even sadness, but all I could do was laugh. The laughter was uncomfortable and verging on hysteria (I was deeply wounded by this film), but it was laughter nonetheless. For example, when Eragon wakes after the final battle is won, he looks upon Murtagh's friendly and sympathetic countenance. Eragon asks if Saphira is all right and Murtagh replies, ""Some friends can never be replaced"" Leading the viewer to think that Saphira may be dead. Eragon is clearly distraught, and at this point, as a viewer, you should be crying. But in a whirlwind, Saphira appears, and Murtagh happily proclaims something like, ""But luckily, they don't have to!"" And at that point, I started laughing. A loud, raucous laugh came out of me and I had no control over it. I thought, ""Gee, that Murtagh! He sure is a practical joker- he almost had me there!"" Because, you know, that's what pals do: they pretend that their friend's best friend has died, and then they can have a good laugh over it. Ha ha! Yeah, right. The viewer has no sense of the camaraderie between these characters because at the end of the film, we still don't even really know who they are, much less have a sense of their relationship to one another. Third, as a result of the previous two reasons, the story has no message worth telling. The novel is infused with themes about friendship, tolerance, caring, and justice; however, each becomes lost in this nightmare that Fang-who-ever had wrought. It is the most severe of all sins, as this film will be more widely accessible and distribute than the novel itself. For all those who walk out of the theater thinking this movie was good, whether or not they have read the novel, they are being deceived. They are being deceived into thinking that this garbage is all that this novel is or could be. With The Lord of the Rings, Peter Jackson proved that a significant novel with a clearly defined fantasy world can be made with thoughtfulness, grace, and beauty. Eragon, the movie, contains none of those ideals. With a poorly written script by Peter Buchman, widely known for his work on War Magician and Jurrasic Park 3 (Did anyone even see that?), and slipshod production values, the film falls flat on it's face. All good stories leave the reader with something to think about, but this one just left me thinking, ""I paid $9 for this?""True, the novel is a significant work that should be made into a film. However, I can't see how, in the universe that has been created by the filmmakers, that the full trilogy can be told with any vestige of the original story arc. What this Fangmeier moron has done is a true disservice to Paolini, the Inheritance trilogy, the fans and general public, and most significantly, himself. This is his directorial debut, and it is a pathetic interpretation. Something amazing could have been done here. But what I saw was a lazy and wretched re- working of a story that should have simply been told as it was written. For this, as a teacher, I must give Stefen What's-his-name and his entire production crew an F because his work was off-topic and irrelevant.","
            1/10
            "
"littlejimmy835","20 December 2006","3/10 To put it simply, Eragon lacks. The story is rushed unexplained and poorly thought out, the acting is below par, and the cinematography is annoying with its tilted angles and range so close to the action so that you can't see what is going on.The writing of the movie is by far its weakest aspect. The story is rushed quickly jumping from one thing to the next without any plot development so the viewer is left constantly wondering what is going on, one second our main character is a naive farmer, the next he is suddenly a fully experienced warrior with absolutely no evidence showing exactly where he gained this experience from. Entire scenes of the movie plod along with absolutely no meaning or relevance to the story, scenes which should have been cut out of the movie to make the narrative flow better. Characters come and go as they please with no relevance to the story, such as the archer who just suddenly appears out of nowhere and then just aimlessly follows the main characters without actually adding anything to the story. It almost seems as if the movie was written by a 9th grade high school student for his English class.The acting of the movie is far below par, as it seems that nobody in this movie seems to have emotions as if all the characters were cyborgs from the Terminator series or Steven Segal. For example there is the scene where the main character discovers that the stone he has found isn't a rock but actually a dragon egg as the egg hatches. Now normally people seeing a small monster burst out of a rock would express quite some level of surprise or shock, but all our star does is raise his eyebrows slightly and give a pathetic tiny gasp. Every character in the entire movie is like this, if someone is crying over a slain comrade all they do is frown and have a look of ""dang it"" on their face, if someone is cheering over victory, all they do is leer and go ""woooo"". The emotion is non existent.Eragon is a poor movie at best that fails to be entertaining, especially when compared to the other movies it is copying they style of such as ""Lord of the Rings"" and ""Harry Potter"". It seems that the makers of this movie thought, ""This movie has swords, magic, old English style speech, horses and dragons, it therefore must be good"". They were wrong. The belief that just because your movie looks a bit like ""Lord of the Rings"" it must be good like it, is incorrect.","
            3/10
            "
"Birstyjr","15 December 2006","The movie follows nothing of the book's plot line. I think someone read like maybe ten chapters of the Eragon book and decided to make the movie. If they decide to make Eldest (The sequel to Eragon) it would be nothing like the book because they have changed too many things in this movie to carry the plot correctly. The plot of the movie shares nothing with the book and the characters (the ones they actually decided to add) share no similarities to the book's idea of them. The storyline used in the movie could have possibly been acceptable if it hadn't had such bad writing. The lines were mediocre and no one other than Brom, Eragon and Saphira had ten lines. Murtagh had like eight or nine lines through the whole movie, Nasuada and Ajihad had like two or three (and Nasuada doesn't say who she is) and Hrothgar had maybe one or two lines. They completely rushed the movie too quickly. Unless you read the book, you have no idea how Eragon learns to use magic and are left in the dark about most things. The actors did the best job they could with the horrid lines they were given to read. The special effects were great except that Saphira isn't supposed to have feathers. What dragon has feathers? Christopher Paolini says like fifty times in the book that Saphira's wings are a thin membrane. Also that Eragon is fifteen, not seventeen. Every problem comes back to the horrid writing. Bottom Line: Could have been a great and timeless movie. Not Lord of the Rings worthy.","
            6/10
            "
"damir-zupanic1","25 December 2006","When I first heard that a movie is going to be made by the book ""Eragon"" by Christopher Paolini, I must say I was very delighted, and I was even more delighted when I heard that Stefen Fangmeier will be the director. I have read the book, and thaught:""What a great movie this is going to be"". Unfortunately, I was wrong. First of all, I would dare to say that half of the events that happened in the book weren't shown in the movie at all(reason: Lord of the Rings has less then 400 pages and the movie lasts around 3 hours; Eragon has around 500 pages and it lasts around hour and a half). As a result, instead of complexed, unpredictable fantasy plot you get simple, one-way heading fairy tale. Characters that play very significent role in book(like Murtagh, Ajihad and Angela) are hardly even mentioned in the movie, so that it becomes centered on pretty much only 3 characters-Eragon, Saphira and Brom. Villains and locations lack imagination, so they look cheap and ordinary. Choice of actors is, in my opinion, good, except Edward Speleers. There are way too much ""memorable quotes"" in the movie, so that movie becomes kind of too much theatrical.Everybody, from director to actors failed, but still, I personally bealive that the biggest failure is Peter Buchman, screenwriter. Although he had a fantastic material to work on, he managed to ruin it, and make a pathetic screenplay from a fantastic bestseller. Only bright side of the movie is always top-of-the-class John Malkovich(King Galbatorix), pretty solid performance by Jeremy Irons (Brom), but most of all dragon Saphira (voice by Rachel Weisz, whose vocal abilities are on very desirable level)","
            4/10
            "
"FlaviusAetius","25 March 2007","What happens when you take an unoriginal, crappy, but popular book and make it into a movie? An unoriginal, crappy, but popular movie? Yes, yes, and no. Even Paolini's rabid fan-base caught wind of the pungent stench of this heap, and failed to turn it into the blockbuster it was projected to be.Eragon, an unassuming farm-boy, has his world turned upside down the day he receives a dragon egg, making him a Dragon Rider whose destiny is to battle the evil king Galbatorix(played by an epically bored John Malkovich). To Eragon's aid is the tragically wasted Jeremy Irons as Brom, the wise old swordsman who guides him on his adventures.What's wrong with this movie? Where to start.....the acting is stiff and wooden at best, the plot is a hackneyed rip-off of Star Wars, there's absolutely no interest in the characters, the editing is horrible, making the movie feel like a clumsily-taped together montage of disconnected images rather than a single flowing work, and the action scenes are far too quick and amazingly boring. The characters from the book are mere cameos and are confined to only a few lines of dialog before being shoved off the rim of the abyss into obscurity, allowing the Gary Stu hero of the Inheritance series to take his rightful place at the spotlight once more to soak up attention like a malefic sponge.Ed Speelers is ghastly as Eragon, who can't seem to muster emotion even when his uncle dies. (Boo-hoo.) Deus ex Machina riddles every foul hole and rat-infested crevice of this corrupt beast of a film. My friend and I made a running joke of looking at the sky and thanking God whenever one of the Deus ex Machinas reared their ugly heads. There's simply no end to why this movie fails at nearly every fundamental level. When the plot stutters and staggers, some random, arbitrary element is injected into the mix to keep things moving.Example: The epic siege of Farthen Dur ends with Eragon victorious. Pretty much the end of the movie: what do we do now? We have to establish a basis for the sequel! ""LOL! LESSGO TO ELESSMERA!"" Whatever the hell that is.Good things: well, the scenery was beautiful. I don't know where they shot it, but it sure was nice. Of course, there are plenty of far superior movies that show equal-if-not better scenery(coughLordoftheRingscough). The special effects were spotty but were nice in spots. Jeremy Irons is by far the best actor in the movie (Rachel Weisz does an admirable job with voice work as well.) He manages to bring depth to a one-dimensional character, and refuses to go down without a fight even with his limp co-cast and a horrible script. Unlike John Malkovich, who can finally boast he's given a performance as bad as Shadow of the Vampire was good, he refuses to phone his performance in.All in all, Eragon barely counts as a movie. Will there be a sequel? Hopefully not.","
            2/10
            "
"AZINDN","21 December 2007","Eragon (Ed Speleers) is a young farmer who discovers an egg one day. When the egg hatches, out pops a baby dragon who the human learns is his dragon, and that he is a Dragon Rider. Through the inevitable growing pains of child to youth, youth to adult, young Eragon is mentored by a former dragon rider, Jeremy Irons, and learns that dragons and their human rider are bound together by a shared destiny until death. How they choose to live this partnership is the gist of the story as Eragon seeks to save his country from an evil ruler and magician with the help of a band of rebel outcasts, a magic sword, and the brave dragon. Of course, a young beautiful girl, Sienna Guillory is the first love of Eragon, and the partnership of Safira, the dragon and her rider becomes a life's test of courage, cunning, and growing wisdom.This is a light fantasy film that is most of all feel-good with a smattering of ""ancient"" wisdom and swordplay which will entertain younger audiences. The special effects and overall look of the film is passable, not a multi-million dollar SFX laden film, but believable in its visuals. As for the story, I don't read fictional fantasy so I had no basis for comparison with ""the book."" But, I'm not a fan of comparing text to visuals as criterion for quality or authenticity for each medium is its own separate art form. This is a family film that will entertain and enthrall youngsters as well as possibly impart some sense of honor, wisdom through purpose, and a sense of duty above self -- all characteristics that are missing in the mindless, fart-heavy humor of most ""tweeny"" movies put out for commercial distribution today.If only to watch the stellar performance of the excellent British actor, Jeremy Irons as he mentors the wet-behind-the-ears Dragon Rider, the film is worth watching as the really ugly bad guys try to bring down the last of the dragons and her headstrong partner.","
            7/10
            "
"fisherd","21 December 2006","Formula for disaster ..... take a rookie director whose reputation is as a CGI/FX whiz kid, an unknown screen writer, a cast that looks fantastic on paper, but embodies nothing of the original characters and has to deliver the schlock that before mentioned screenwriter has written, and then attempt to set to film once of the most anticipated book adaptations in recent history. It fails on so many levels.I DID read the book, but have the sense to know that film doesn't have to completely follow the book word-for-word/chapter-for-chapter. I am not one of the fanatics raving that the movie sucks because Arya is blonde or doesn't have ""elf ears"". I am saying the movie sucks for all the reasons already mentioned ad nauseum .... because the pacing is deplorable, the dialog is beyond bad, and the directing is cliché. I thought that the effects were actually quite good -- Duza's makeup, aside. One questionable costume design was Arya's ""Indian Princess"" costume in the last scene. She looks like an extra from some 40's western.To sum, the director and screen writer should be tarred and feathered, but only after the studio execs who green-lighted this turd are drawn and quartered. Too many fans had too many expectations for something FAR better than this.","
            2/10
            "
"FiendishDramaturgy","25 March 2007","Good thing I'm not a fan of the novel, then. I realize there are problems with this adaptation, but I must agree with other reviewers in that this story was obviously a total rip off of the base Star Wars plot, with a medieval setting tacked on, in the first place, so I don't CARE that this particular movie wasn't like the book. In fact, I found that a plus.The characters were enigmatic, unlike the written work. The dragon was awesome, unlike the written work. All the idiotic nonsensical details which did not mesh with one another were absent, and the story was amazingly coherent, considering the source material from whence this was drawn.I thoroughly enjoy this work, and will watch it again, and again. The book? I couldn't stand the amateurish lack of style, the lack of demonstration of vocabulary, or the inability to string together a coherent paragraph. Sorry book fans. I hated the book. When I read others' reviews screaming how NOT like the book this was, I bought the DVD sight unseen, and LOVED it.It rates an 8.6/10 from...the Fiend :.","
            9/10
            "
"qlawman","19 December 2006","I registered with IMDb for the sole purpose of reviewing this movie.It is an atrocity, and I mean that in every conceivable connotation of the word.If you have not read the book, than you might give a 5, but even then it does NOT deserve it. I'd say, at it's very best and if I wouldn't have read the book that this movie would rate a 3.There wasn't a single transition in the whole thing; the plot just kept on hopping from point to point leaving the audience in a constant state of confusing frustration. Or, at least, it might have been confusing had the movie kept any of the intricacies of the original plot as outlined in the novel. One second Brom and Eragon are happily sparring along a river, when mere seconds before, and close by(as the audience is led to assume) a group of Urgals (which have been morphed into fat, bald men with blue tattoos) were ravaging some poor group of people on the side of the road. Eragon, whom is constantly portrayed in the movie as having ""1 part courage and 3 parts fool"" doesn't seem to care. What a big heart.That's just one example. Suffice to say, my 15 month old niece could have done a better job at producing this movie. It is ALMOST as bad as Battlefield Earth! Heck, it's right on par with Bloodrayne.It is an insult to call this a ""B Movie"" as I have seen a few good ""B Movies"" in my time. This movie kind of falls off the grading-scale charts. It's bad.They skipped so many intrinsic plot points that they couldn't possibly make Eldest into a movie and call it ""Eldest."" For one thing, there is no love interest for Roran, and he just up and leaves because ""he's of age."" What's Roran going to do throughout the entire second book? Arya is not an elf...the least they could have done was throw on some tapered ears...so if Arya doesn't look or act super-human, what difference would Eragon's transformation be in the next book. Eragon does not get scarred from the shade, and Murtagh's scar is some tribal looking scratch.Christopher Paolini should be insulted, and whoever is responsible for this nonsensical ""interpretation"" should be arrested and forced to watch their own horrid movie over and over again for a span of at least 10 years.Yeah, I know I'm coming off a bit harsh, but I can't impress upon you enough that this was a huge let-down. I just hope that this serves to help some of you save some money by avoiding this movie. As another reviewer implied, you will find this DVD in bargain bins in a couple of weeks and will probably be able to buy it online cheaper than you could rent it in a store. Just wait until then","
            1/10
            "
