"","title","author","subject","abstract","date"
"1","stepping into the right shoes: the effects of user-matched avatar ethnicity and gender on sense of embodiment in virtual reality","tiffany d. do, camille isabella protko, ryan p. mcmahan","human-computer interaction","in many consumer virtual reality (vr) applications, users embody predefined characters that offer minimal customization options, frequently emphasizing storytelling over user choice. we explore whether matching a user's physical characteristics, specifically ethnicity and gender, with their virtual self-avatar affects their sense of embodiment in vr. we conducted a 2 x 2 within-subjects experiment (n=32) with a diverse user population to explore the impact of matching or not matching a user's self-avatar to their ethnicity and gender on their sense of embodiment. our results indicate that matching the ethnicity of the user and their self-avatar significantly enhances sense of embodiment regardless of gender, extending across various aspects, including appearance, response, and ownership. we also found that matching gender significantly enhanced ownership, suggesting that this aspect is influenced by matching both ethnicity and gender. interestingly, we found that matching ethnicity specifically affects self-location while matching gender specifically affects one's body ownership.",2024-02-05
"2","recent innovations in footwear sensors: role of smart footwear in healthcare -- a survey","pradyumna g. r., roopa b. hegde, bommegowda k. b., anil kumar bhat, ganesh r. naik, amit n. pujari","computers and society","smart shoes have ushered in a new era of personalised health monitoring and assistive technology. the shoe leverages technologies such as bluetooth for data collection and wireless transmission and incorporates features such as gps tracking, obstacle detection, and fitness tracking. this article provides an overview of the current state of smart shoe technology, highlighting the integration of advanced sensors for health monitoring, energy harvesting, assistive features for the visually impaired, and deep learning for data analysis. the study discusses the potential of smart footwear in medical applications, particularly for patients with diabetes, and the ongoing research in this field. current footwear challenges are also discussed, including complex construction, poor fit, comfort, and high cost.",2024-01-03
"3","instilling multi-round thinking to text-guided image generation","lidong zeng, zhedong zheng, yinwei wei, tat-seng chua","computer vision and pattern recognition","this paper delves into the text-guided image editing task, focusing on modifying a reference image according to user-specified textual feedback to embody specific attributes. despite recent advancements, a persistent challenge remains that the single-round generation often overlooks crucial details, particularly in the realm of fine-grained changes like shoes or sleeves. this issue compounds over multiple rounds of interaction, severely limiting customization quality. in an attempt to address this challenge, we introduce a new self-supervised regularization, \ie, multi-round regularization, which is compatible with existing methods. specifically, the multi-round regularization encourages the model to maintain consistency across different modification orders. it builds upon the observation that the modification order generally should not affect the final result. different from traditional one-round generation, the mechanism underpinning the proposed method is the error amplification of initially minor inaccuracies in capturing intricate details. qualitative and quantitative experiments affirm that the proposed method achieves high-fidelity editing quality, especially the local modification, in both single-round and multiple-round generation, while also showcasing robust generalization to irregular text inputs. the effectiveness of our semantic alignment with textual feedback is further substantiated by the retrieval improvements on fahisoniq and fashion200k.",2024-01-16
"4","in-plane density gradation of shoe midsoles for optimized cushioning performance","kazi zahir uddin (1), hai anh nguyen (1 and 2), thanh t. nguyen (2), mitja trkov (1), george youssef (3), behrad koohbor (1 and 4) ((1) department of mechanical engineering, rowan university, nj, usa, (2) department of mathematics, rowan university, nj, usa, (3) experimental mechanics laboratory, department of mechanical engineering, san diego state university, ca, usa (4) advanced materials and manufacturing institute, rowan university, nj, usa)","materials science","midsoles are important components in footwear as they provide shock absorption and stability, thereby improving comfort and effectively preventing certain foot and ankle injuries. a rationally tailored midsole can potentially mitigate plantar pressure, improving performance and comfort levels. despite the importance of midsole design, the potential of using in-plane density gradation in midsole has been rarely explored in earlier studies. the present work investigates the effectiveness of in-plane density gradation in shoe midsoles using a new class of polyurea foams as the material candidate. their excellent cushioning properties justify the use of polyurea foams. different polyurea foam densities, ranging from 95 to 350 kg/m3 are examined and tested to construct density-dependent correlative mathematical relations required for the optimization process. an optimization framework is then created to allocate foam densities at certain plantar zones based on the required cushioning performance constrained by the local pressures. the interior-point algorithm was used to solve the constrained optimization problem. the optimization algorithm introduces a novel approach, utilizing the maximum specific energy absorption as the objective function. the optimization process identifies specific foam densities at various plantar regions for maximum biomechanical energy dissipation without incurring additional weight penalties. our results suggest midsole design can benefit from horizontal (in-plane) density gradation, leading to potential weight reduction and localized cushioning improvements. with local plantar peak pressure data analysis, the optimization results indicate low-density polyurea foams (140 kg/m3) for central and lateral phalanges, whereas stiffer foams (185-230 kg/m3) are identified as suitable candidates for metatarsal and arch regions in an in-plane density graded midsole design.",2024-01-13
"5","what else would i like? a user simulator using alternatives for improved evaluation of fashion conversational recommendation systems","maria vlachou, craig macdonald","information retrieval","in conversational recommendation systems (crs), a user can provide feedback on recommended items at each interaction turn, leading the crs towards more desirable recommendations. currently, different types of crs offer various possibilities for feedback, i.e., natural language feedback, or answering clarifying questions. in most cases, a user simulator is employed for training as well as evaluating the crs. such user simulators typically critique the current retrieved items based on knowledge of a single target item. still, evaluating systems in offline settings with simulators suffers from problems, such as focusing entirely on a single target item (not addressing the exploratory nature of a recommender system), and exhibiting extreme patience (consistent feedback over a large number of turns). to overcome these limitations, we obtain extra judgements for a selection of alternative items in common crs datasets, namely shoes and fashion iq dresses. going further, we propose improved user simulators that allow simulated users not only to express their preferences about alternative items to their original target, but also to change their mind and level of patience. in our experiments using the relative image captioning crs setting and different crs models, we find that using the knowledge of alternatives by the simulator can have a considerable impact on the evaluation of existing crs models, specifically that the existing single-target evaluation underestimates their effectiveness, and when simulated users are allowed to instead consider alternatives, the system can rapidly respond to more quickly satisfy the user.",2024-01-11
"6","grasping, part identification, and pose refinement in one shot with a tactile gripper","joyce xin-yan lim, quang-cuong pham","robotics","the rise in additive manufacturing comes with unique opportunities and challenges. rapid changes to part design and massive part customization distinctive to 3d-print (3dp) can be easily achieved. customized parts that are unique, yet exhibit similar features such as dental moulds, shoe insoles, or engine vanes could be industrially manufactured with 3dp. however, the opportunity for massive part customization comes with unique challenges for the existing production paradigm of robotics applications, as the current robotics paradigm for part identification and pose refinement is repetitive, where data-driven and object-dependent approaches are often used. thus, a bottleneck exists in robotics applications for 3dp parts where massive customization is involved, as it is difficult for feature-based deep learning approaches to distinguish between similar parts such as shoe insoles belonging to different people. as such, we propose a method that augments patterns on 3dp parts so that grasping, part identification, and pose refinement can be executed in one shot with a tactile gripper. we also experimentally evaluate our approach from three perspectives, including real insertion tasks that mimic robotic sorting and packing, and achieved excellent classification results, a high insertion success rate of 95%, and a sub-millimeter pose refinement accuracy.",2023-12-29
"7","understanding inter-session intentions via complex logical reasoning","jiaxin bai, chen luo, zheng li, qingyu yin, yangqiu song","artificial intelligence","understanding user intentions is crucial for enhancing product recommendations, navigation suggestions, and query reformulations. however, user intentions can be complex, involving multiple sessions and attribute requirements connected by logical operators such as and, or, and not. for example, a user may search for nike or adidas running shoes across various sessions, with a preference for the color purple. in another case, a user may have purchased a mattress in a previous session and is now seeking a corresponding bed frame without intending to buy another mattress. prior research on session understanding has not sufficiently addressed how to make product or attribute recommendations for such complex intentions. in this paper, we introduce the task of logical session complex query answering, where sessions are treated as hyperedges of items, and we formulate the problem of complex intention understanding as a task of logical session complex queries answering (ls-cqa) on an aggregated hypergraph of sessions, items, and attributes. the proposed task is a special type of complex query answering task with sessions as ordered hyperedges. we also propose a new model, the logical session graph transformer (lsgt), which captures interactions among items across different sessions and their logical connections using a transformer structure. we analyze the expressiveness of lsgt and prove the permutation invariance of the inputs for the logical operators. we evaluate lsgt on three datasets and demonstrate that it achieves state-of-the-art results.",2023-12-21
"8","bootstrap masked visual modeling via hard patches mining","haochen wang, junsong fan, yuxi wang, kaiyou song, tiancai wang, xiangyu zhang, zhaoxiang zhang","computer vision and pattern recognition","masked visual modeling has attracted much attention due to its promising potential in learning generalizable representations. typical approaches urge models to predict specific contents of masked tokens, which can be intuitively considered as teaching a student (the model) to solve given problems (predicting masked contents). under such settings, the performance is highly correlated with mask strategies (the difficulty of provided problems). we argue that it is equally important for the model to stand in the shoes of a teacher to produce challenging problems by itself. intuitively, patches with high values of reconstruction loss can be regarded as hard samples, and masking those hard patches naturally becomes a demanding reconstruction task. to empower the model as a teacher, we propose hard patches mining (hpm), predicting patch-wise losses and subsequently determining where to mask. technically, we introduce an auxiliary loss predictor, which is trained with a relative objective to prevent overfitting to exact loss values. also, to gradually guide the training procedure, we propose an easy-to-hard mask strategy. empirically, hpm brings significant improvements under both image and video benchmarks. interestingly, solely incorporating the extra loss prediction objective leads to better representations, verifying the efficacy of determining where is hard to reconstruct. the code is available at this https url.",2023-12-21
"9","variable chaplygin gas: contraining parameters using frbs","geetanjali sethi, udish sharma, nadia makhijani","cosmology and nongalactic astrophysics","we investigate the cosmological constraints on the variable chaplygin gas model with the latest observational data from the fast radio bursts and sneia (pantheon+shoes). the variable chaplygin gas model is shown to be compatible with type ia supernovae and fast radio burts. we have obtained tighter constraints on cosmological parameters bs and n, using the the frb data set. by using the markov chain monte carlo (mcmc) method on the sneia data set, we obtain bs=0.1956 +- 0.1047 , n= 1.3581 +- 1.1678 and h0= 70.3902 +- 0.6381 and we obtain bs= 0.1780 +-0.1069 , n= 1.2633+- 1.2433 and h0=70.397 +- 0.6597 from the frb data set. we are able to get a good agreement between the h0 values from the two data sets.",2023-12-05
"10","unveiling $ω_{\rm m0}$ independently: a journey and consistency quest with first-order perturbation theory","bikash r. dinda","cosmology and nongalactic astrophysics","this study combines cosmic chronometer (cc) hubble parameter data with growth rate (f) observations to constrain the $\omega_{\rm m0}$ parameter. utilizing a consistency relation independent of cosmological models, we employ gaussian process regression to reconstruct hubble parameter and growth rate values. the resulting $\omega_{\rm m0}h^2$ constraint is $\omega_{\rm m0}h^2=0.139\pm0.017$. incorporating $h_0$ measurements, we find $\omega_{\rm m0}$ values from cc data ($0.308\pm0.057$), tip of the red giant branch ($0.285\pm0.038$), and shoes measurements ($0.259\pm0.033$). interestingly, a higher mean $h_0$ correlates with a lower mean $\omega_{\rm m0}$. in summary, our cosmological model-independent approach offers valuable constraints on $\omega_{\rm m0}$, affirming the consistency of flrw and newtonian perturbation theory.",2023-11-22
