"","movie_name","title","reviewer","review","date","ratings"
"1","scream, queen! my nightmare on elm street","the scream queen shines","sammymayson","id been interested in whatever happened to mark patton since i was a kid and fell in love with the nightmare on elm street series this documentary brings him out of seclusion and it turns out he had a pretty compelling set of reasons for leaving the business altogetherfor patton what should have been an exciting time in his life he was young attractive and starring as the lead in a huge horror sequel became a literal nightmare when he found out his lover with hiv positive and he might be infected as well add in the hollywood homophobia and fear that hed be outed at any minute and have his dreams shattered and one can see why he decided to leave hollywood before it discarded himits nice to see this film and performance often cited as nothing more than a quirky footnote in the nightmare series getting a full length documentary treatment there are tons of interesting facts that fans of the film will enjoy",2020-05-31,NA
"2","scream, queen! my nightmare on elm street","simply excellent","arthurconnor","a wonderful insightful look at the life of reclusive a nightmare on elm street  star mark patton groomed to be one of the next big young actors in the mids patton disappeared from the scene after his agents were fearful that his performance as jessie would turn him into a character actor who couldnt play straight considering this was at the height of s aids panic patton left the industrypatton finally gets his moment in the sun here and hes able to confront the filmmakers some of whom blamed him for some of the criticisms the film received and gets to finally tell his side of the storyits part coming of age story parts aids saga part love letter to horror fans and  entertaining and even a bit moving this one is definitely something horror fans and s gay historians will eat up",2020-03-05,NA
"3","scream, queen! my nightmare on elm street","excellent documentary","briandwillis","if youre a fan of a nightmare on elm street  freddys revenge and all that goes along with it i cant imagine you being bored or underwhelmed by this terrific documentary that finally brings that films infamous lead actor mark patton into the spotlight and lets him tell his side of the story and why he left show business the results are harrowing and frequently moving",2020-10-24,NA
"4","scream, queen! my nightmare on elm street","more than you would expect","rivertam","chronicling the gayest horror movie ever made nightmare on elm street  freddys revenge the documentary centers around mark patton who at the time was not an out gay actor and how the reputation stalled his career but even more than that the film chronicles the outlook of hollywood on its gay artists and the effects of the industry people had to endure surprisingly the movie also investigates the aids epidemic although it wasnt as fun as i thought it would be i loved that the makers werent afraid to go into the darker stuff i wish it could have touched a little deeper with patton himself but the film does give me a new found appreciation for him and the struggle he went through as a kid i never picked up on the in your face subtext and if im being honest although i liked it i never counted this entry as one of my favorites but over the past few years and understanding it more i definitely have a new love for it",2020-03-15,NA
"5","scream, queen! my nightmare on elm street","frustrating","mdbourke","this was a really frustrating watch on one hand it highlighted what we already know about showbiz and its view of homosexuality and treatment of minorities really has much changed on the other hand it presented us with mark patton who for  years has remained bitter and much like the character he played a victim for me on some level i could empathise but then part of me just wanted to shake him and say get over it as he says he made the decision not to pursue acting his choice as a gay man i too have been called names but this did not stop me in fact it made me stronger and more determined that ever i agree with jack sholder director of nightmare on elm street part  when he says to mark move on get over it and stop blaming david chaskin screenwriter for his decision to leave showbiz at some point we all need to take responsibility for ourselvesmark is a presented as a fragile human being and he even states that at the time of the movies release and backlash he was a closeted gay actor with a dying lover so he had so much going on and needed to compromise to much to work in the hollywood system this movie may have done him a favor and acted as catalyst that sees him alive and happy today despite his personal setbacksi personally am grateful for his generation of activists who have paved the way for me and others to live and breath is a less prejudiced world this documentary to me was just ok a little preachy in places and unevenworth a watch yes but not brilliant by a long shot",2020-05-18,NA
"6","scream, queen! my nightmare on elm street","the horror of the closet","morrisondylanfan","after recently seeing the excellent sun choke also reviewedi decided to check spookyastronauts channel again catching a video about horror titles out in junei was intrigued to learn about a upcoming horror doc leading me to learn about a scream queenview on the filmgoing right back to mark pattons who is also a coproducer early years on stage being directed by robert altman directors roman chimienti and tyler jensen claw the most fascinating aspects of the doc from the archive footage of homophobia in hollywood and the press in the swith the directors layering press clippings and tv clips from alist stars demanding everyone takes a blood test before productions began to magazines attempting to whipup fear of gay peopleafter the death of rock hudson across the screentravelling with patton to horror conventions the directors present a positive image on the horror community with drag queens who watch a nightmare on elm street  for the camp aspectsitting as equals with those who have come for the gore mentioning in the film that he had decided to quit actingdespite getting some roles after elm street  the up close and personal approach the directors takeleads to the personal hardship patton has faced losing partner timothy patrick murphy being crossed with a bitterness towards elm street thirty years laterbuilding up to reunions with the cast and crew of elm street  the directors leave the impression of only featuring a small snippet of the exchanges which took place most noticeable in the one on one discussion patton has with elm street  script writer david chaskin who apologises over claiming for years that he had not written a gay subtext in the scriptand blamed it on patton but points out that parts of elm street  patton blames him most for the girly scream were the directors decision not his which gets oddly dissolved to a friending ending to the chatas freddy comes out of the closet",2020-06-05,NA
"7","scream, queen! my nightmare on elm street","interesting","bandsaboutmovies","a compelling spotlight on reclusive actor mark patton who disappeared right after he seemed to be getting put on the hollywood map scream queen deals with his fall from the graces of hollywood due to the fear of aids and homophobiaa nightmare on elm street  has been one of the black sheep of the franchise for awhile and in some ways the hate is justified the script has its weak spots but lets get one thing straight  mark patton was never one of those weak spots he turned in a committed memorable and game performance going places that a lot of male actors are too scared to go he wasnt scared to appear weak or genuinely frightened unfortunately the world wasnt ready for it and some would say they still arent and he paid the pricefor any gay horror fans or hollywood historians this is a must watch",2020-06-03,NA
"8","scream, queen! my nightmare on elm street","gay bitterness","samunfiltered","im  and a lifelong elm street fan anytime someone from the elm street family has a new project i always like to support it because theyve brought me such happiness my whole life by being a part of a series that has oddly enough helped me get through some very tough times ive followed mark patton on social media for a while now and have been following the making of this documentary as well so i knew some of his story but certainly not the whole story i jumped at the opportunity to be able to see a screening of this because for someone like me it was required viewing the good kind of required viewing of course however heres the thing its not just a documentary for someone like me its also for someone like you or someone like your neighbor or someone like the stranger waiting to catch the bus what im saying is that its for everyone the story it tells is something everyone should hear but story is probably the wrong word because i hear the word story and works of fiction come to mind however the subject matter of scream queen is all too real true and heartbreaking it also shows the importance of closure and how finding it can be a painful process but ultimately worth it and inspiring for others watching this doc will be worth it for you too so if you have a chance to watch it please do yourself a favor and jump at it like i did its an emotional ride but a wholly satisfying one regardless of whether or not youre a fan of elm street joe altomere",2020-06-13,NA
"9","scream, queen! my nightmare on elm street","jessie lives","marcialyon","the information has been circulating for years but we finally hear the truth in this excellent documentary that gives insight into a nightmare on elm street  freddys revenge it can now be laid to rest never a more pertinent time in american history than right now to understand how oppression affects individual lives and society as a whole i enjoyed seeing mark patton being so honest as well as getting to know what an amazing man robert england is thank you for this documentary i hope everyone has a chance to watch it",2020-03-06,NA
"10","scream, queen! my nightmare on elm street","a beautiful film","batman","an incredible film that compiles these amazing surreal  inspiring stories of our culture our timeline our courage  our community im so glad i was finally able to watch it ",2019-11-02,NA
