"","movie_name","title","reviewer","review","date","ratings"
"1","Scream, Queen! My Nightmare on Elm Street","The Scream Queen Shines","sammymayson","I'd been interested in whatever happened to Mark Patton since I was a kid and fell in love with the Nightmare on Elm Street series. This documentary brings him out of seclusion and, it turns out, he had a pretty compelling set of reasons for leaving the business altogether.For Patton, what should have been an exciting time in his life (he was young, attractive, and starring as the lead in a huge horror sequel) became a literal nightmare when he found out his lover with HIV positive and he might be infected as well. Add in the Hollywood homophobia and fear that he'd be outed at any minute and have his dreams shattered and one can see why he decided to leave Hollywood before it discarded him.It's nice to see this film and performance, often cited as nothing more than a quirky footnote in the Nightmare series, getting a full length documentary treatment. There are tons of interesting facts that fans of the film will enjoy.","31 May 2020","9/10"
"2","Scream, Queen! My Nightmare on Elm Street","Simply Excellent","arthurconnor","A wonderful, insightful look at the life of reclusive A Nightmare on Elm Street 2 star, Mark Patton. Groomed to be one of the next big young actors in the mid-80's, Patton disappeared from the scene after his agents were fearful that his performance as Jessie would turn him into a character actor who couldn't play straight. Considering this was at the height of 80's AIDS panic, Patton left the industry.Patton finally gets his moment in the sun here and he's able to confront the filmmakers (some of whom blamed him for some of the criticisms the film received) and gets to finally tell his side of the story.It's part coming of age story, parts AIDS saga, part love letter to horror fans, and 100% entertaining and even a bit moving. This one is definitely something horror fans and 80's gay historians will eat up.","5 March 2020","9/10"
"3","Scream, Queen! My Nightmare on Elm Street","Excellent Documentary","briandwillis-83825","If you're a fan of A Nightmare on Elm Street 2: Freddy's Revenge and all that goes along with it, I can't imagine you being bored or underwhelmed by this terrific documentary that finally brings that film's infamous lead actor, Mark Patton, into the spotlight and lets him tell his side of the story and why he left show business. The results are harrowing and frequently moving.","24 October 2020","8/10"
"4","Scream, Queen! My Nightmare on Elm Street","More than you would expect","rivertam26","Chronicling the gayest horror movie ever made, Nightmare on elm street 2 Freddy's Revenge. The documentary centers around Mark Patton who at the time was not an out gay actor and how the reputation stalled his career. But even more than that the film chronicles the outlook of Hollywood on it's gay artists and the effects of the industry people had to endure. Surprisingly the movie also investigates the Aids epidemic. Although it wasn't as fun as I thought it would be. I loved that the makers weren't afraid to go into the darker stuff. I wish it could have touched a little deeper with Patton himself. But the film does give me a new found appreciation for him and the struggle he went through. As a kid I never picked up on the in your face subtext. And if I'm being honest although I liked it I never counted this entry as one of my favorites. But over the past few years and understanding it more I definitely have a new love for it.4/5","15 March 2020","8/10"
"5","Scream, Queen! My Nightmare on Elm Street","Frustrating!","mdbourke-282-899973","This was a really frustrating watch! On one hand, it highlighted what we already know about ""Showbiz"" and its view of homosexuality and treatment of minorities (Really, has much changed?) On the other hand it presented us with Mark Patton, who for 30 years has remained bitter and much like the character he played a ""victim"". For me, on some level I could empathise, but then part of me just wanted to shake him and say ""Get over it"" As he says, he made the decision not to pursue acting, his choice. As a gay man I too have been called names, but this did not stop me, in fact it made me stronger and more determined that ever. I agree with Jack Sholder (Director of Nightmare On Elm Street Part 2) when he says to Mark, move on, get over it and stop blaming David Chaskin (Screenwriter) for his decision to leave showbiz. At some point, we all need to take responsibility for ourselves.Mark is a presented as a fragile human being, and he even states that at the time of the movies release and backlash, he was a closeted gay actor with a dying lover, so he had so much going on and needed to compromise to much to work in the Hollywood system! This movie may have done him a favor, and acted as catalyst that sees him, alive and happy today, despite his personal setbacks.I personally am grateful for his generation of activists who have paved the way for me, and others to live and breath is a less prejudiced world. This documentary, to me, was just OK, a little preachy in places and uneven.Worth a watch? Yes! But not brilliant by a long shot","18 May 2020","5/10"
"6","Scream, Queen! My Nightmare on Elm Street","The horror of the closet.","morrison-dylan-fan","After recently seeing the excellent Sun Choke (2015-also reviewed)I decided to check spookyastronauts channel again. Catching a video about Horror titles out in June,I was intrigued to learn about a upcoming Horror doc, leading me to learn about a Scream Queen.View on the film:Going right back to Mark Patton's (who is also a co-producer) early years on stage being directed by Robert Altman, directors Roman Chimienti and Tyler Jensen claw the most fascinating aspects of the doc from the archive footage of homophobia in Hollywood and the press in the 80's,with the directors layering press clippings and TV clips, (from A-List stars demanding everyone takes a blood test before productions began, to magazines attempting to whip-up fear of gay people,after the death of Rock Hudson) across the screen.Travelling with Patton to Horror conventions, the directors present a positive image on the Horror community, with Drag Queens who watch A Nightmare on Elm Street 2 for the ""Camp"" aspect,sitting as equals with those who have come for the gore. Mentioning in the film that he had decided to quit acting,despite getting some roles after Elm Street 2, the up close and personal approach the directors take,leads to the personal hardship Patton has faced, (losing partner Timothy Patrick Murphy) being crossed with a bitterness towards Elm Street 2,thirty years later.Building up to reunions with the cast and crew of Elm Street 2, the directors leave the impression of only featuring a small snippet of the exchanges which took place, most noticeable in the one on one discussion Patton has with Elm Street 2 script writer David Chaskin, who apologises over claiming for years that he had not written a gay subtext in the script,and blamed it on Patton, but points out that parts of Elm Street 2 Patton blames him most for (the ""girly scream"") were the director's decision not his, which gets oddly dissolved to a friending ending to the chat,as Freddy comes out of the closet.","5 June 2020","7/10"
"7","Scream, Queen! My Nightmare on Elm Street","Interesting","BandSAboutMovies","A compelling spotlight on reclusive actor Mark Patton who disappeared right after he seemed to be getting put on the Hollywood map. Scream, Queen deals with his fall from the graces of Hollywood due to the fear of AIDS and homophobia.A Nightmare on Elm Street 2 has been one of the black sheep of the franchise for awhile and, in some ways, the hate is justified. The script has its weak spots, but let's get one thing straight - Mark Patton was never one of those weak spots. He turned in a committed, memorable, and game performance, going places that a lot of male actors are too scared to go. He wasn't scared to appear weak or genuinely frightened. Unfortunately, the world wasn't ready for it (and some would say they still aren't) and he paid the price.For any gay horror fans or Hollywood historians, this is a must watch!","3 June 2020","4/10"
"8","Scream, Queen! My Nightmare on Elm Street","Gay Bitterness??","SamUnfiltered1979","I'm 37 and a lifelong Elm Street fan. Anytime someone from the Elm Street Family has a new project, I always like to support it, because they've brought me such happiness my whole life by being a part of a series that has, oddly enough, helped me get through some very tough times. I've followed Mark Patton on social media for a while now, and have been following the making of this documentary, as well, so I knew some of his story, but certainly not the whole story. I jumped at the opportunity to be able to see a screening of this, because for someone like me, it was required viewing (the good kind of required viewing, of course). However, here's the thing; it's not just a documentary for someone like me. It's also for someone like you, or someone like your neighbor, or someone like the stranger waiting to catch the bus. What I'm saying is that it's for everyone. The story it tells is something everyone should hear. But story is probably the wrong word, because I hear the word story and works of fiction come to mind; however the subject matter of ""Scream, Queen"" is all too real, true, and heartbreaking. It also shows the importance of closure, and how finding it can be a painful process, but ultimately worth it, and inspiring for others. Watching this doc will be worth it for you, too, so if you have a chance to watch it, please, do yourself a favor and jump at it like I did. It's an emotional ride, but a wholly satisfying one, regardless of whether or not you're a fan of Elm Street. -Joe Altomere","13 June 2020","5/10"
"9","Scream, Queen! My Nightmare on Elm Street","Jessie Lives!","marcialyon","The information has been circulating for years but we finally hear the truth in this excellent documentary that gives insight into A Nightmare on Elm Street 2: Freddy's Revenge. It can now be laid to rest. Never a more pertinent time in American history than right now to understand how oppression affects individual lives and society as a whole. I enjoyed seeing Mark Patton being so honest as well as getting to know what an amazing man Robert England is. Thank you for this documentary. I hope everyone has a chance to watch it.","6 March 2020","8/10"
"10","Scream, Queen! My Nightmare on Elm Street","A Beautiful Film","Batman-52","An incredible film that compiles these amazing, surreal & inspiring stories of our culture, our timeline, our courage & our community. I'm so glad I was finally able to watch it <3.","2 November 2019","10/10"
"11","Scream, Queen! My Nightmare on Elm Street","The Scream Queen Shines","sammymayson","I'd been interested in whatever happened to Mark Patton since I was a kid and fell in love with the Nightmare on Elm Street series. This documentary brings him out of seclusion and, it turns out, he had a pretty compelling set of reasons for leaving the business altogether.For Patton, what should have been an exciting time in his life (he was young, attractive, and starring as the lead in a huge horror sequel) became a literal nightmare when he found out his lover with HIV positive and he might be infected as well. Add in the Hollywood homophobia and fear that he'd be outed at any minute and have his dreams shattered and one can see why he decided to leave Hollywood before it discarded him.It's nice to see this film and performance, often cited as nothing more than a quirky footnote in the Nightmare series, getting a full length documentary treatment. There are tons of interesting facts that fans of the film will enjoy.","31 May 2020","9/10"
"12","Scream, Queen! My Nightmare on Elm Street","Simply Excellent","arthurconnor","A wonderful, insightful look at the life of reclusive A Nightmare on Elm Street 2 star, Mark Patton. Groomed to be one of the next big young actors in the mid-80's, Patton disappeared from the scene after his agents were fearful that his performance as Jessie would turn him into a character actor who couldn't play straight. Considering this was at the height of 80's AIDS panic, Patton left the industry.Patton finally gets his moment in the sun here and he's able to confront the filmmakers (some of whom blamed him for some of the criticisms the film received) and gets to finally tell his side of the story.It's part coming of age story, parts AIDS saga, part love letter to horror fans, and 100% entertaining and even a bit moving. This one is definitely something horror fans and 80's gay historians will eat up.","5 March 2020","9/10"
"13","Scream, Queen! My Nightmare on Elm Street","Excellent Documentary","briandwillis-83825","If you're a fan of A Nightmare on Elm Street 2: Freddy's Revenge and all that goes along with it, I can't imagine you being bored or underwhelmed by this terrific documentary that finally brings that film's infamous lead actor, Mark Patton, into the spotlight and lets him tell his side of the story and why he left show business. The results are harrowing and frequently moving.","24 October 2020","8/10"
"14","Scream, Queen! My Nightmare on Elm Street","More than you would expect","rivertam26","Chronicling the gayest horror movie ever made, Nightmare on elm street 2 Freddy's Revenge. The documentary centers around Mark Patton who at the time was not an out gay actor and how the reputation stalled his career. But even more than that the film chronicles the outlook of Hollywood on it's gay artists and the effects of the industry people had to endure. Surprisingly the movie also investigates the Aids epidemic. Although it wasn't as fun as I thought it would be. I loved that the makers weren't afraid to go into the darker stuff. I wish it could have touched a little deeper with Patton himself. But the film does give me a new found appreciation for him and the struggle he went through. As a kid I never picked up on the in your face subtext. And if I'm being honest although I liked it I never counted this entry as one of my favorites. But over the past few years and understanding it more I definitely have a new love for it.4/5","15 March 2020","8/10"
"15","Scream, Queen! My Nightmare on Elm Street","Frustrating!","mdbourke-282-899973","This was a really frustrating watch! On one hand, it highlighted what we already know about ""Showbiz"" and its view of homosexuality and treatment of minorities (Really, has much changed?) On the other hand it presented us with Mark Patton, who for 30 years has remained bitter and much like the character he played a ""victim"". For me, on some level I could empathise, but then part of me just wanted to shake him and say ""Get over it"" As he says, he made the decision not to pursue acting, his choice. As a gay man I too have been called names, but this did not stop me, in fact it made me stronger and more determined that ever. I agree with Jack Sholder (Director of Nightmare On Elm Street Part 2) when he says to Mark, move on, get over it and stop blaming David Chaskin (Screenwriter) for his decision to leave showbiz. At some point, we all need to take responsibility for ourselves.Mark is a presented as a fragile human being, and he even states that at the time of the movies release and backlash, he was a closeted gay actor with a dying lover, so he had so much going on and needed to compromise to much to work in the Hollywood system! This movie may have done him a favor, and acted as catalyst that sees him, alive and happy today, despite his personal setbacks.I personally am grateful for his generation of activists who have paved the way for me, and others to live and breath is a less prejudiced world. This documentary, to me, was just OK, a little preachy in places and uneven.Worth a watch? Yes! But not brilliant by a long shot","18 May 2020","5/10"
"16","Scream, Queen! My Nightmare on Elm Street","The horror of the closet.","morrison-dylan-fan","After recently seeing the excellent Sun Choke (2015-also reviewed)I decided to check spookyastronauts channel again. Catching a video about Horror titles out in June,I was intrigued to learn about a upcoming Horror doc, leading me to learn about a Scream Queen.View on the film:Going right back to Mark Patton's (who is also a co-producer) early years on stage being directed by Robert Altman, directors Roman Chimienti and Tyler Jensen claw the most fascinating aspects of the doc from the archive footage of homophobia in Hollywood and the press in the 80's,with the directors layering press clippings and TV clips, (from A-List stars demanding everyone takes a blood test before productions began, to magazines attempting to whip-up fear of gay people,after the death of Rock Hudson) across the screen.Travelling with Patton to Horror conventions, the directors present a positive image on the Horror community, with Drag Queens who watch A Nightmare on Elm Street 2 for the ""Camp"" aspect,sitting as equals with those who have come for the gore. Mentioning in the film that he had decided to quit acting,despite getting some roles after Elm Street 2, the up close and personal approach the directors take,leads to the personal hardship Patton has faced, (losing partner Timothy Patrick Murphy) being crossed with a bitterness towards Elm Street 2,thirty years later.Building up to reunions with the cast and crew of Elm Street 2, the directors leave the impression of only featuring a small snippet of the exchanges which took place, most noticeable in the one on one discussion Patton has with Elm Street 2 script writer David Chaskin, who apologises over claiming for years that he had not written a gay subtext in the script,and blamed it on Patton, but points out that parts of Elm Street 2 Patton blames him most for (the ""girly scream"") were the director's decision not his, which gets oddly dissolved to a friending ending to the chat,as Freddy comes out of the closet.","5 June 2020","7/10"
"17","Scream, Queen! My Nightmare on Elm Street","Interesting","BandSAboutMovies","A compelling spotlight on reclusive actor Mark Patton who disappeared right after he seemed to be getting put on the Hollywood map. Scream, Queen deals with his fall from the graces of Hollywood due to the fear of AIDS and homophobia.A Nightmare on Elm Street 2 has been one of the black sheep of the franchise for awhile and, in some ways, the hate is justified. The script has its weak spots, but let's get one thing straight - Mark Patton was never one of those weak spots. He turned in a committed, memorable, and game performance, going places that a lot of male actors are too scared to go. He wasn't scared to appear weak or genuinely frightened. Unfortunately, the world wasn't ready for it (and some would say they still aren't) and he paid the price.For any gay horror fans or Hollywood historians, this is a must watch!","3 June 2020","4/10"
"18","Scream, Queen! My Nightmare on Elm Street","Gay Bitterness??","SamUnfiltered1979","I'm 37 and a lifelong Elm Street fan. Anytime someone from the Elm Street Family has a new project, I always like to support it, because they've brought me such happiness my whole life by being a part of a series that has, oddly enough, helped me get through some very tough times. I've followed Mark Patton on social media for a while now, and have been following the making of this documentary, as well, so I knew some of his story, but certainly not the whole story. I jumped at the opportunity to be able to see a screening of this, because for someone like me, it was required viewing (the good kind of required viewing, of course). However, here's the thing; it's not just a documentary for someone like me. It's also for someone like you, or someone like your neighbor, or someone like the stranger waiting to catch the bus. What I'm saying is that it's for everyone. The story it tells is something everyone should hear. But story is probably the wrong word, because I hear the word story and works of fiction come to mind; however the subject matter of ""Scream, Queen"" is all too real, true, and heartbreaking. It also shows the importance of closure, and how finding it can be a painful process, but ultimately worth it, and inspiring for others. Watching this doc will be worth it for you, too, so if you have a chance to watch it, please, do yourself a favor and jump at it like I did. It's an emotional ride, but a wholly satisfying one, regardless of whether or not you're a fan of Elm Street. -Joe Altomere","13 June 2020","5/10"
"19","Scream, Queen! My Nightmare on Elm Street","Jessie Lives!","marcialyon","The information has been circulating for years but we finally hear the truth in this excellent documentary that gives insight into A Nightmare on Elm Street 2: Freddy's Revenge. It can now be laid to rest. Never a more pertinent time in American history than right now to understand how oppression affects individual lives and society as a whole. I enjoyed seeing Mark Patton being so honest as well as getting to know what an amazing man Robert England is. Thank you for this documentary. I hope everyone has a chance to watch it.","6 March 2020","8/10"
"20","Scream, Queen! My Nightmare on Elm Street","A Beautiful Film","Batman-52","An incredible film that compiles these amazing, surreal & inspiring stories of our culture, our timeline, our courage & our community. I'm so glad I was finally able to watch it <3.","2 November 2019","10/10"
